,0,1,2,3,4,5,6
0,NetSig,LUAD,InBio,6612,1764.71,1,SUMO3
1,NetSig,LUAD,InBio,3106,1531.99,2,HLA-B
2,NetSig,LUAD,InBio,10482,1530.41,3,NXF1
3,NetSig,LUAD,InBio,4343,1323.68,4,MOV10
4,NetSig,LUAD,InBio,10987,1293.81,5,COPS5
5,NetSig,LUAD,InBio,1917,1258.5,6,EEF1A2
6,NetSig,LUAD,InBio,6045,1159.72,7,RNF2
7,NetSig,LUAD,InBio,8454,1149.29,8,CUL1
8,NetSig,LUAD,InBio,988,1127.12,9,CDC5L
9,NetSig,LUAD,InBio,387082,1092.97,10,SUMO4
10,NetSig,LUAD,InBio,5431,1084.68,11,POLR2B
11,NetSig,LUAD,InBio,525,972.081,12,ATP6V1B1
12,NetSig,LUAD,InBio,7278,964.664,13,TUBA3C
13,NetSig,LUAD,InBio,51547,963.18,14,SIRT7
14,NetSig,LUAD,InBio,526,953.276,15,ATP6V1B2
15,NetSig,LUAD,InBio,4087,938.665,16,SMAD2
16,NetSig,LUAD,InBio,55466,938.591,17,DNAJA4
17,NetSig,LUAD,InBio,112714,888.306,18,TUBA3E
18,NetSig,LUAD,InBio,9820,862.989,19,CUL7
19,NetSig,LUAD,InBio,9978,846.412,20,RBX1
20,NetSig,LUAD,InBio,51807,841.398,21,TUBA8
21,NetSig,LUAD,InBio,55832,838.897,22,CAND1
22,NetSig,LUAD,InBio,8453,828.647,23,CUL2
23,NetSig,LUAD,InBio,23291,822.404,24,FBXW11
24,NetSig,LUAD,InBio,6500,809.287,25,SKP1
25,NetSig,LUAD,InBio,11337,802.47,26,GABARAP
26,NetSig,LUAD,InBio,333932,800.119,27,HIST2H3A
27,NetSig,LUAD,InBio,23710,795.544,28,GABARAPL1
28,NetSig,LUAD,InBio,50943,793.528,29,FOXP3
29,NetSig,LUAD,InBio,5705,793.32,30,PSMC5
30,NetSig,LUAD,InBio,10537,775.363,31,UBD
31,NetSig,LUAD,InBio,2146,758.102,32,EZH2
32,NetSig,LUAD,InBio,83987,758.039,33,CCDC8
33,NetSig,LUAD,InBio,217,756.629,34,ALDH2
34,NetSig,LUAD,InBio,5702,756.496,35,PSMC3
35,NetSig,LUAD,InBio,219,742.225,36,ALDH1B1
36,NetSig,LUAD,InBio,8761,733.721,37,PABPC4
37,NetSig,LUAD,InBio,6175,726.277,38,RPLP0
38,NetSig,LUAD,InBio,8349,711.589,39,HIST2H2BE
39,NetSig,LUAD,InBio,8854,711.543,40,ALDH1A2
40,NetSig,LUAD,InBio,5434,707.269,41,POLR2E
41,NetSig,LUAD,InBio,7428,705.582,42,VHL
42,NetSig,LUAD,InBio,23322,701.864,43,RPGRIP1L
43,NetSig,LUAD,InBio,5970,701.206,44,RELA
44,NetSig,LUAD,InBio,2026,697.653,45,ENO2
45,NetSig,LUAD,InBio,29925,695.532,46,GMPPB
46,NetSig,LUAD,InBio,908,690.934,47,CCT6A
47,NetSig,LUAD,InBio,8878,689.929,48,SQSTM1
48,NetSig,LUAD,InBio,22916,678.139,49,NCBP2
49,NetSig,LUAD,InBio,57154,675.653,50,SMURF1
50,NetSig,LUAD,InBio,5042,674.427,51,PABPC3
51,NetSig,LUAD,InBio,4673,672.906,52,NAP1L1
52,NetSig,LUAD,InBio,5432,670.65,53,POLR2C
53,NetSig,LUAD,InBio,3337,667.844,54,DNAJB1
54,NetSig,LUAD,InBio,80336,667.477,55,PABPC1L
55,NetSig,LUAD,InBio,81631,662.96,56,MAP1LC3B
56,NetSig,LUAD,InBio,4116,661.045,57,MAGOH
57,NetSig,LUAD,InBio,340529,658.159,58,PABPC1L2A
58,NetSig,LUAD,InBio,7175,657.073,59,TPR
59,NetSig,LUAD,InBio,9100,654.341,60,USP10
60,NetSig,LUAD,InBio,6598,654.129,61,SMARCB1
61,NetSig,LUAD,InBio,5223,652.475,62,PGAM1
62,NetSig,LUAD,InBio,2645,651.054,63,GCK
63,NetSig,LUAD,InBio,26354,643.162,64,GNL3
64,NetSig,LUAD,InBio,6517,636.906,65,SLC2A4
65,NetSig,LUAD,InBio,5563,635.27,66,PRKAA2
66,NetSig,LUAD,InBio,6628,633.645,67,SNRPB
67,NetSig,LUAD,InBio,10450,629.071,68,PPIE
68,NetSig,LUAD,InBio,2027,625.398,69,ENO3
69,NetSig,LUAD,InBio,4089,622.906,70,SMAD4
70,NetSig,LUAD,InBio,4086,621.986,71,SMAD1
71,NetSig,LUAD,InBio,523,621.704,72,ATP6V1A
72,NetSig,LUAD,InBio,5224,620.037,73,PGAM2
73,NetSig,LUAD,InBio,648,618.563,74,BMI1
74,NetSig,LUAD,InBio,23512,617.682,75,SUZ12
75,NetSig,LUAD,InBio,3123,612.838,76,HLA-DRB1
76,NetSig,LUAD,InBio,2585,612.355,77,GALK2
77,NetSig,LUAD,InBio,9470,608.758,78,EIF4E2
78,NetSig,LUAD,InBio,440093,607.687,79,H3F3C
79,NetSig,LUAD,InBio,79861,605.341,80,TUBAL3
80,NetSig,LUAD,InBio,23327,603.448,81,NEDD4L
81,NetSig,LUAD,InBio,55660,603.399,82,PRPF40A
82,NetSig,LUAD,InBio,441531,601.42,83,PGAM4
83,NetSig,LUAD,InBio,191,594.257,84,AHCY
84,NetSig,LUAD,InBio,8451,593.264,85,CUL4A
85,NetSig,LUAD,InBio,4686,592.297,86,NCBP1
86,NetSig,LUAD,InBio,5437,590.228,87,POLR2H
87,NetSig,LUAD,InBio,1977,588.014,88,EIF4E
88,NetSig,LUAD,InBio,140886,587.994,89,PABPC5
89,NetSig,LUAD,InBio,255626,587.178,90,HIST1H2BA
90,NetSig,LUAD,InBio,22872,583.539,91,SEC31A
91,NetSig,LUAD,InBio,7536,582.072,92,SF1
92,NetSig,LUAD,InBio,2100,579.125,93,ESR2
93,NetSig,LUAD,InBio,6125,578.507,94,RPL5
94,NetSig,LUAD,InBio,9924,574.882,95,PAN2
95,NetSig,LUAD,InBio,3018,572.866,96,HIST1H2BB
96,NetSig,LUAD,InBio,128312,569.866,97,HIST3H2BB
97,NetSig,LUAD,InBio,6426,567.853,98,SRSF1
98,NetSig,LUAD,InBio,54464,566.963,99,XRN1
99,NetSig,LUAD,InBio,5441,566.88,100,POLR2L
100,NetSig,LUAD,InBio,8340,564.836,101,HIST1H2BL
101,NetSig,LUAD,InBio,2932,562.599,102,GSK3B
102,NetSig,LUAD,InBio,11080,561.418,103,DNAJB4
103,NetSig,LUAD,InBio,7013,560.465,104,TERF1
104,NetSig,LUAD,InBio,85236,557.2,105,HIST1H2BK
105,NetSig,LUAD,InBio,6130,555.762,106,RPL7A
106,NetSig,LUAD,InBio,8341,555.588,107,HIST1H2BN
107,NetSig,LUAD,InBio,5435,554.923,108,POLR2F
108,NetSig,LUAD,InBio,22919,554.492,109,MAPRE1
109,NetSig,LUAD,InBio,8342,552.547,110,HIST1H2BM
110,NetSig,LUAD,InBio,8348,552.245,111,HIST1H2BO
111,NetSig,LUAD,InBio,6871,552.059,112,TADA2A
112,NetSig,LUAD,InBio,6625,551.959,113,SNRNP70
113,NetSig,LUAD,InBio,9276,550.575,114,COPB2
114,NetSig,LUAD,InBio,23450,548.911,115,SF3B3
115,NetSig,LUAD,InBio,1642,548.395,116,DDB1
116,NetSig,LUAD,InBio,25822,547.892,117,DNAJB5
117,NetSig,LUAD,InBio,83447,547.686,118,SLC25A31
118,NetSig,LUAD,InBio,10594,547.287,119,PRPF8
119,NetSig,LUAD,InBio,9423,546.524,120,NTN1
120,NetSig,LUAD,InBio,8668,546.177,121,EIF3I
121,NetSig,LUAD,InBio,3841,544.629,122,KPNA5
122,NetSig,LUAD,InBio,9945,540.385,123,GFPT2
123,NetSig,LUAD,InBio,3017,539.228,124,HIST1H2BD
124,NetSig,LUAD,InBio,10921,536.732,125,RNPS1
125,NetSig,LUAD,InBio,6232,536.398,126,RPS27
126,NetSig,LUAD,InBio,11338,535.11,127,U2AF2
127,NetSig,LUAD,InBio,4917,534.577,128,NTN3
128,NetSig,LUAD,InBio,5976,534.531,129,UPF1
129,NetSig,LUAD,InBio,6132,533.729,130,RPL8
130,NetSig,LUAD,InBio,5436,532.457,131,POLR2G
131,NetSig,LUAD,InBio,10427,531.992,132,SEC24B
132,NetSig,LUAD,InBio,4522,530.773,133,MTHFD1
133,NetSig,LUAD,InBio,2673,530.401,134,GFPT1
134,NetSig,LUAD,InBio,5462,530.225,135,POU5F1B
135,NetSig,LUAD,InBio,5878,528.129,136,RAB5C
136,NetSig,LUAD,InBio,23481,527.898,137,PES1
137,NetSig,LUAD,InBio,22976,526.966,138,PAXIP1
138,NetSig,LUAD,InBio,9128,526.204,139,PRPF4
139,NetSig,LUAD,InBio,56893,525.949,140,UBQLN4
140,NetSig,LUAD,InBio,54552,523.019,141,GNL3L
141,NetSig,LUAD,InBio,10802,522.666,142,SEC24A
142,NetSig,LUAD,InBio,9871,522.518,143,SEC24D
143,NetSig,LUAD,InBio,6634,519.724,144,SNRPD3
144,NetSig,LUAD,InBio,26121,518.622,145,PRPF31
145,NetSig,LUAD,InBio,4670,515.507,146,HNRNPM
146,NetSig,LUAD,InBio,6431,514.597,147,SRSF6
147,NetSig,LUAD,InBio,10111,513.129,148,RAD50
148,NetSig,LUAD,InBio,24148,512.524,149,PRPF6
149,NetSig,LUAD,InBio,6059,512.138,150,ABCE1
150,NetSig,LUAD,InBio,50,511.418,151,ACO2
151,NetSig,LUAD,InBio,7322,511.255,152,UBE2D2
152,NetSig,LUAD,InBio,440689,508.185,153,HIST2H2BF
153,NetSig,LUAD,InBio,9611,508.025,154,NCOR1
154,NetSig,LUAD,InBio,4736,506.996,155,RPL10A
155,NetSig,LUAD,InBio,6128,506.267,156,RPL6
156,NetSig,LUAD,InBio,29979,505.791,157,UBQLN1
157,NetSig,LUAD,InBio,51741,503.695,158,WWOX
158,NetSig,LUAD,InBio,10189,503.606,159,ALYREF
159,NetSig,LUAD,InBio,8295,503.424,160,TRRAP
160,NetSig,LUAD,InBio,5439,502.971,161,POLR2J
161,NetSig,LUAD,InBio,23524,502.866,162,SRRM2
162,NetSig,LUAD,InBio,5433,502.622,163,POLR2D
163,NetSig,LUAD,InBio,8555,500.091,164,CDC14B
164,NetSig,LUAD,InBio,4790,499.622,165,NFKB1
165,NetSig,LUAD,InBio,10693,499.039,166,CCT6B
166,NetSig,LUAD,InBio,6733,498.874,167,SRPK2
167,NetSig,LUAD,InBio,4085,497.42,168,MAD2L1
168,NetSig,LUAD,InBio,5226,493.106,169,PGD
169,NetSig,LUAD,InBio,9939,490.947,170,RBM8A
170,NetSig,LUAD,InBio,580,490.937,171,BARD1
171,NetSig,LUAD,InBio,7155,489.701,172,TOP2B
172,NetSig,LUAD,InBio,11100,487.309,173,HNRNPUL1
173,NetSig,LUAD,InBio,10291,486.648,174,SF3A1
174,NetSig,LUAD,InBio,5438,485.772,175,POLR2I
175,NetSig,LUAD,InBio,23277,483.994,176,CLUH
176,NetSig,LUAD,InBio,23560,482.997,177,GTPBP4
177,NetSig,LUAD,InBio,8237,482.131,178,USP11
178,NetSig,LUAD,InBio,6880,481.871,179,TAF9
179,NetSig,LUAD,InBio,875,481.119,180,CBS
180,NetSig,LUAD,InBio,4676,480.778,181,NAP1L4
181,NetSig,LUAD,InBio,229,480.408,182,ALDOB
182,NetSig,LUAD,InBio,10484,479.302,183,SEC23A
183,NetSig,LUAD,InBio,216,479.238,184,ALDH1A1
184,NetSig,LUAD,InBio,5888,479.115,185,RAD51
185,NetSig,LUAD,InBio,374407,478.595,186,DNAJB13
186,NetSig,LUAD,InBio,55611,478.308,187,OTUB1
187,NetSig,LUAD,InBio,6135,476.691,188,RPL11
188,NetSig,LUAD,InBio,8065,476.63,189,CUL5
189,NetSig,LUAD,InBio,6878,476.528,190,TAF6
190,NetSig,LUAD,InBio,6218,476.211,191,RPS17
191,NetSig,LUAD,InBio,3692,475.793,192,EIF6
192,NetSig,LUAD,InBio,6204,475.485,193,RPS10
193,NetSig,LUAD,InBio,9785,473.157,194,DHX38
194,NetSig,LUAD,InBio,57819,472.067,195,LSM2
