,gene,score
37410,MAP3K1,0.986
37411,PBRM1,0.9840000000000001
37412,ATRX,0.98
37413,CASP8,0.972
37414,CDH1,0.97
37415,PTEN,0.968
37416,APC,0.968
37417,CTNNB1,0.9670000000000001
37418,NF1,0.9670000000000001
37419,PIK3CA,0.966
37420,IDH1,0.965
37422,FGFR3,0.961
37423,ATM,0.961
37424,STAG2,0.9590000000000001
37425,RB1,0.9570000000000001
37426,BAP1,0.955
37427,SETD2,0.955
37429,STK11,0.95
37430,EPHA2,0.9490000000000001
37431,NSD1,0.9490000000000001
37432,BRAF,0.9490000000000001
37433,CCAR1,0.9470000000000001
37434,NAA15,0.945
37435,KDM6A,0.943
37436,CTCF,0.943
37437,RBM10,0.9420000000000001
37438,ARID1A,0.9390000000000001
37440,KRAS,0.938
37441,FBXW7,0.938
37442,NFE2L2,0.9329999999999999
37443,NIPBL,0.9329999999999999
37444,SMAD4,0.932
37445,FUBP1,0.932
37446,DDX3X,0.932
37447,AJUBA,0.9309999999999999
37448,RASA1,0.9309999999999999
37449,KMT2C,0.93
37450,EP300,0.927
37451,PSIP1,0.924
37452,VHL,0.9209999999999999
37453,RAC1,0.919
37454,KMT2D,0.917
37455,LATS1,0.915
37456,NF2,0.9129999999999999
37457,JAK1,0.9129999999999999
37458,GNA11,0.9109999999999999
37459,PIK3R1,0.91
37460,AKT1,0.91
37461,RHOA,0.91
37462,FAT1,0.909
37463,EGFR,0.9079999999999999
37464,CREBBP,0.9059999999999999
37465,SF3B1,0.904
37466,NOTCH1,0.904
37467,MAP2K4,0.903
37469,HLA-A,0.893
37470,CDKN2A,0.892
37476,GNAQ,0.889
37477,ARHGAP35,0.888
37479,SAV1,0.887
37480,SPOP,0.887
37481,ARID2,0.884
37482,CUL3,0.882
37483,BMPR2,0.8809999999999999
37484,BRCA1,0.8809999999999999
37485,TRAF3,0.88
37487,MAPK1,0.878
37488,NRAS,0.877
37490,KMT2A,0.873
37492,RUNX1,0.871
37493,MAP2K1,0.868
37494,CTNND1,0.868
37495,RPL5,0.868
37497,FGFR2,0.866
37498,U2AF1,0.865
37499,TP53,0.865
37501,TSC1,0.861
37502,TGFBR2,0.861
37503,HRAS,0.861
37504,RNF43,0.8590000000000001
37506,MSH2,0.8540000000000001
37507,AXIN1,0.8490000000000001
37508,ERBB2,0.8490000000000001
37509,TCF12,0.845
37510,THRAP3,0.8440000000000001
37511,BCOR,0.8440000000000001
