gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2332089552238806	0.5727193152445198	643659.3991640111	447.24156676888765	0.019684892901599114	0.0	0.0
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.018411459292263503	0.09196122584593126	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.16666666666666666	0.0	0.0	0.8333333333333334	0.0	1.0	0.0	0.0	1.0	0.0	2.5	2.5	1.0	1.0	0.2523977788995457	0.5998861555467844	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.5333333333333333	0.0	0.0	0.4666666666666667	0.0	1.0	0.0	0.0	0.9658722633586914	0.0	0.7777777777777778	0.7777777777777778	1.0	1.0	0.9970089730807578	0.9999955224125608	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.09679605072113058	1.0	0.26413100898045433	0.615771276488941	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.0	0.14285714285714285	0.0	0.8571428571428571	0.0	1.0	0.0	0.0	1.0	0.0	6.0	7.0	0.5491488193300385	1.0	0.05134524543027316	0.2037986721257165	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.3333333333333333	0.0	0.0	0.5	0.0	1.0	0.16666666666666666	0.0	1.0	0.0	1.0	1.3333333333333333	1.0	1.0	0.5007511266900351	0.8470936677184167	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.2857142857142857	0.0	0.14285714285714285	0.5714285714285714	0.0	1.0	0.0	0.0	1.0	0.0	1.3333333333333333	1.6666666666666667	0.21477663230240548	1.0	0.7830853563038371	0.9745603579094771	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.25	0.0	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	1.5	1.5	1.0	1.0	0.2349624060150376	0.5752654492573648	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACBD6	849	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.19646365422396853	0.5161646032539159	543108.1	445.0	0.01167259	2.050000935228513e-06	3.0
ACOT11	1824	0.36363636363636365	0.0	0.0	0.6363636363636364	0.0	1.0	0.0	0.0	0.9474427588512933	0.0	1.4	1.4	1.0	1.0	0.6684491978609626	0.9376971120001908	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACOT7	1143	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3437607425232039	0.7108316876978564	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACTA1	1134	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.09894132779261898	0.3278152026409938	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTL8	1101	0.25	0.25	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.5	0.1315270288044193	1.0	0.6289308176100629	0.9205874315925409	249962.3	416.0	0.02650356	0.0	1.0
ACTN2	2685	0.1111111111111111	0.1111111111111111	0.0	0.7777777777777778	0.0	1.0	0.0	0.0	1.0	0.0	3.5	4.0	0.3849114703618168	1.0	0.5847953216374269	0.8985341348038411	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
ACTRT2	1134	0.25	0.25	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.5	0.13638843426077468	1.0	0.7062146892655368	0.9518615785815876	308009.3	634.0	0.01910433	0.0	0.0
ADAM15	2592	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.3333333333333333	1.3333333333333333	1.0	1.0	0.5330490405117271	0.8684125003113182	1696720.0	214.0	0.04370952	7.289549375923378e-05	31.0
ADAM30	2373	0.1111111111111111	0.1111111111111111	0.0	0.7777777777777778	0.0	1.0	0.0	0.0	1.0	0.0	3.5	4.0	0.6105006105006106	1.0	0.832639467110741	0.9851411682746432	390094.2	560.0	0.009313993000000001	0.0	0.0
