gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.19149751053236308	0.5080200057979583	641125.2912749739	449.10646945166235	0.019565881093718096	0.0	0.0
AADACL3	1224	0.0	0.0	0.0	0.75	0.0	1.0	0.25	0.0	0.75	0.0	3.0	4.0	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.6666666666666666	0.0	0.3333333333333333	0.0	1.0	0.0	0.0	0.5793801642856949	0.0	1.0	3.0	0.015054799470071059	1.0	0.8532423208191127	0.9886618525211782	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.3157894736842105	0.0	0.0	0.6842105263157895	0.0	1.0	0.0	0.0	0.9256603431473772	0.0	1.8571428571428572	1.8571428571428572	1.0	1.0	0.09104980424292088	0.3092368772472192	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.9168497986377478	0.0	13.0	13.0	1.0	1.0	0.031214883256336617	0.13943252186482188	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.25	0.0	0.0	0.75	0.0	1.0	0.0	0.0	0.75	0.0	1.5	1.5	1.0	1.0	0.8032128514056225	0.979225325234274	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.15384615384615385	0.15384615384615385	0.0	0.46153846153846156	0.0	1.0	0.23076923076923078	0.0	0.7586640142018065	0.0	2.0	3.6666666666666665	0.13171759747102213	1.0	0.3579098067287044	0.7256529208427953	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.1394700139470014	0.4142127830699485	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.25	0.0	0.0	0.75	0.0	1.0	0.0	0.0	0.75	0.0	1.5	1.5	1.0	1.0	0.5807200929152149	0.8963335691089077	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.10586491636671606	1.0	1.0	1.0	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACBD6	849	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.75	0.0	0.6666666666666666	0.6666666666666666	1.0	1.0	0.0727431439586819	0.2633898754993294	543108.1	445.0	0.01167259	2.050000935228513e-06	3.0
ACOT11	1824	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.6666666666666666	0.6666666666666666	1.0	1.0	0.6222775357809583	0.9174667621377571	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACOT7	1143	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	643589.5	176.0	0.02580471	8.441698555815318e-05	25.0
ACP6	1287	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	2.0	2.0	1.0	1.0	0.00078	0.0063618489778588935	641125.2912749739	449.10646945166235	0.019565881093718096	3.0041311957330638e-06	10.0
ACTA1	1134	0.6	0.0	0.0	0.4	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.22670596236681026	0.5631606032924061	243405.2	361.0	0.02946144	0.0010771302966454367	109.0
ACTL8	1101	0.0	0.0	0.0	0.8571428571428571	0.0	1.0	0.14285714285714285	0.0	1.0	0.0	6.0	7.0	1.0	1.0	0.030208742410053467	0.13592797972138634	249962.3	416.0	0.02650356	0.0	1.0
ACTN2	2685	0.2222222222222222	0.0	0.0	0.7777777777777778	0.0	1.0	0.0	0.0	0.9532644626984108	0.0	3.0	3.0	1.0	1.0	0.2782415136338341	0.6341863629274812	427179.7	682.0	-0.009612596	0.00024635454564851135	62.0
