gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5970149253731343	0.9049630837474804	512481.5	370.0	-0.001895926	0.0	1.0
ADORA1	981	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5431830526887561	0.8746925052965459	469028.9	453.0	0.03682687	9.132376682258703e-06	7.0
AGBL4	1512	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2300437083045779	0.568089706005672	16483.19	1041.0	-0.01843567	0.0	0.0
AGL	4599	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7256894049346879	0.9583695011549106	289704.4	595.0	0.008860483	0.00015715112145144264	47.0
AIM1L	4986	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1021101.0	217.0	0.02159451	0.0	0.0
AMPD2	2640	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.315955766192733	0.6799851676449098	989433.2	201.0	0.029085700000000003	1.391998329508335e-05	15.0
AMY2B	1536	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4675081813931744	0.8229726180926924	31275.85	974.0	-0.01881541	0.0	1.0
ARHGAP29	3786	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.18162005085361424	0.4914345090302247	466143.7	327.0	-0.008548422	1.1210784456458e-05	9.0
ARHGAP30	3306	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	689033.1	250.0	0.02271094	0.0	0.0
ARHGEF11	4689	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.5730659025787965	0.8921229545297367	958228.2	350.0	0.03612695	6.617398398325312e-05	15.0
ARHGEF2	2961	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.6381620931716656	0.9248008700535314	1880483.0	213.0	0.0321663	7.339305742058517e-05	42.0
ARID1A	6858	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	0.5793801642856949	0.0	1.0	3.0	0.1372872048325096	1.0	0.5694760820045558	0.8901130382761531	975965.1	182.0	0.02749164	0.00010715271733528008	52.0
ASAP3	2712	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1050777.0	159.0	0.02943262	8.808401607953754e-06	6.0
ASPM	10434	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.7380073800738007	0.9622150954477228	221778.5	614.0	-0.02455929	4.4378853334342045e-05	20.0
ATG4C	1377	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6257822277847309	0.9191194288761472	220392.3	415.0	0.0051843359999999995	1.020548598687891e-06	10.0
ATP2B4	3618	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.054344872561273835	0.21261915172894064	513211.4	256.0	0.03531427	0.00021100210222652768	31.0
B3GALNT2	1503	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	536527.6	350.0	0.01637511	1.152263533277196e-05	8.0
BARHL2	1164	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5952380952380952	0.9040439246518854	82474.08	897.0	-0.004452729	0.0	1.0
BCL10	702	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.10550749103186326	1.0	1.0	1.0	348743.5	384.0	0.002841418	0.0003020944081945401	52.0
BTG2	477	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	1.0	0.0	4.5	4.5	1.0	1.0	0.1311131506490101	0.3974950286065427	574553.2	420.0	0.02587524	8.64110050453106e-05	19.0
C1orf112	2562	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7194244604316546	0.9563336310378421	212979.8	614.0	0.007667251999999999	1.4515005059870755e-05	7.0
C1orf27	1365	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3143665513989312	0.6781501454784681	277881.6	399.0	-0.01368128	1.446933970076189e-06	2.0
C1orf61	471	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.29735355337496283	0.6579938842575477	2199280.0	201.0	0.02683985	0.0	0.0
C1orf87	1641	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.032599837000814993	1.0	1.0	1.0	66197.38	942.0	-0.01254231	0.0	1.0
C8A	1755	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2360717658168083	0.5768695532906423	39104.23	713.0	-0.01451069	0.00010421338130940842	2.0
CACNA1E	6942	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6035003017501509	0.9082732277878248	111355.8	832.0	0.009653621999999999	4.1100815478365905e-07	2.0
CADM3	1299	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.723589001447178	0.9576929995263952	99569.46	785.0	0.014330200000000001	0.0	0.0
CAMSAP2	4437	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.08447372867038351	0.2932348957821027	492001.3	374.0	0.01211286	2.454500227959515e-06	5.0
CASZ1	5280	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.8680555555555556	0.9908850366959197	809310.0	433.0	0.02734981	3.4907929278278277e-07	2.0
CD1A	984	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	120861.0	833.0	0.002641513	1.4253509517400783e-06	4.0
CD2	1056	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3202049311559398	0.6848524105990847	697845.0	431.0	0.02050202	0.00013403382146677872	16.0
CD58	753	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.5793801642856949	0.5	0.0	2.0	0.02979826574093388	1.0	0.045533193698205986	0.186199512210888	692757.8	418.0	0.01856625	0.0001355243778804014	10.0
CDK11A	2343	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	551095.8564424908	504.72981056829514	0.014378030115769961	0.0005184292897198111	50.0
CDK11B	2343	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.10495382031905963	0.3415443778393156	1569768.0	214.0	0.03298642	2.629764891669609e-05	33.0
CEP104	2778	0.5	0.5	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.5	0.17593244194229415	1.0	1.0	1.0	249713.9	412.0	0.03163214	0.0	0.0
CEP85	2289	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.08801267382503081	0.3019076266621136	958818.4	217.0	0.02556071	1.6736960264710555e-05	12.0
CEPT1	1251	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.02574267620861865	0.11995070564305055	388536.5	627.0	0.02743306	0.0	2.0
CFH	3696	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	198896.1	941.0	-0.02637393	0.00022494844118121503	14.0
CGN	3612	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.15506280043417586	0.4440882431428501	1385164.0	176.0	0.03072341	1.7437429185359248e-05	13.0
CHD5	5865	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5194805194805194	0.8597018014232455	620865.8	240.0	0.03039633	5.120663270611904e-07	16.0
CHIT1	1401	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4526935264825713	0.8114712197546311	507602.8	453.0	0.03129605	0.0	0.0
CHRM3	1773	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.04725004725004725	0.1914714432546722	52023.35	1031.0	-0.02506452	1.967801924559257e-07	4.0
CHRNB2	1509	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.26624068157614483	0.6185715019558085	1896659.0	403.0	0.04139054	0.0	0.0
CLCA2	2832	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6165228113440198	0.9147102069625284	248811.7	762.0	-0.01317034	6.971326488714695e-08	2.0
COL11A1	5457	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0742611020347542	0.2673524424567866	37620.0	742.0	-0.01974511	0.0	1.0
COL16A1	4815	0.6666666666666666	0.0	0.0	0.3333333333333333	0.0	1.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.8347245409015025	0.9855204504952066	1126016.0	197.0	0.03662063	0.0	0.0
COL24A1	5145	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5743825387708213	0.8928544863791223	263693.1	863.0	-0.01222789	0.0	1.0
CRB1	4221	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7418397626112759	0.9633694454674446	212549.3	428.0	-0.023053599999999997	7.838456296376963e-07	3.0
CSDE1	2535	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.343878954607978	1.0	1.0	1.0	600479.9	472.0	0.00282733	5.6590810299331226e-05	32.0
CTRC	807	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.5	1.0	0.0	1.0	2.0	1.0	1.0	0.4539264639128461	0.8124466944258766	554165.2	212.0	0.02925872	4.512567531164255e-05	6.0
DCAF6	2856	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.22055580061755625	0.5539489528198804	505920.5	417.0	0.01250338	5.986606539014555e-05	29.0
DDR2	2568	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4854368932038835	0.8362650401948979	322979.7	293.0	0.009016348	2.9324905744968862e-06	8.0
DHRS3	909	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4710315591144607	0.8256383338300136	340105.6	294.0	0.02722017	0.0	1.0
DNAJC11	1680	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	623016.3	259.0	0.03447743	3.984198067579333e-05	14.0
DNM3	2592	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	435279.7	643.0	0.006082385	5.477060575829684e-05	33.0
DPYD	3078	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.1931993817619784	0.5108254554093122	64695.69	807.0	-0.006060657	3.600179809164583e-06	8.0
