gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.3110419906687403	0.674285336761923	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.25	0.25	0.0	0.5	0.0	1.0	0.0	0.0	0.9166666666666666	0.0	1.3333333333333333	2.0	0.12043839576056847	1.0	0.5790387955993052	0.8954173706801052	512481.5	370.0	-0.001895926	0.0	1.0
ABCD3	1980	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	4.0	1.0	1.0	0.8968609865470852	0.9944882555265309	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	1.0	1.0	0.2837684449489217	0.6412022440618426	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4448398576512456	0.8051783505477957	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.0	0.5	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.21724961981316526	1.0	0.4480286738351255	0.8077500199458174	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
ACBD6	849	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.1223391240518718	0.3793685325595895	543108.1	445.0	0.01167259	2.050000935228513e-06	3.0
ACOT11	1824	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.33003300330033003	0.6958952539674185	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
