,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS,score
PIK3R1,0.015694444183545708,0.011555359739970572,0.0,0.0,0.01060449138885622,0.0,0.001968787315392795,0.021093713098403744,0.0,0.01338176531890545,0.009051071902265341,0.002353436201421644,0.12383496857479925,0.12951305691332304,0.025177542971714432,0.001864486006630445,0.012275463713087964,0.007428185102759276,0.007853993919503588,0.005704699253556378,0.0010046397123553708,0.0007125045715854482,0.04709550676666513,0.13333883208395458,0.16380989959154468,1.0
TP53,-0.00716691837228417,0.013008083100810586,0.0107357784220401,0.008113407660577276,0.003073476735910852,0.10508178504990234,0.007525646768014815,0.0033929266122880164,0.0010284161629329214,-0.002451665797461755,0.001349276918677922,0.002352434869426601,0.09519879429365363,0.1486568119019247,0.027447866286178683,0.004915479766853692,0.009426265718113613,0.004548481418616968,0.012437166734220071,0.010735747945958385,0.0,0.0006083830071980103,0.12162219252625235,0.1123477079408388,0.09418644551673984,0.9982142857142856
NF1,0.0452466236438131,0.015064409079020624,0.06807582213713886,0.0007513017164559321,0.01322807602390455,0.0,0.02251865215007881,0.0,0.0,0.002925048079022774,0.004478678961988336,0.0006276155361770175,0.05523785923458927,0.0676282014175486,0.027914364759685728,0.008957070967684777,0.006247216989212878,0.0018590972281609663,0.026788564416457383,0.0018267904050129347,0.009080053258509243,0.0,0.14355039501800998,0.051463151206776685,0.1843478561009928,0.9982142857142856
MAP3K1,0.026517542899582358,0.01886862612707036,0.017139719390419694,0.0056884068237973975,0.009632191989036644,-0.0022551592842344204,0.02145016680006884,0.008098109384298223,0.000830653120656666,0.001778543786890907,0.003130568853863591,0.00838934639388289,0.08271786334815756,0.11683393617056448,0.023784875368318026,0.0,-0.002151650861125676,-0.002439305385416479,0.0030051550212271128,0.001250076993179472,0.0,0.0,0.12695484835635218,0.15875902873732722,0.17983330429632427,0.9964285714285714
RB1,0.037600027800329616,0.009004100463919085,0.043431208549570055,0.0,0.01429103962428352,0.0,0.01079598964737527,0.0,0.0,0.0025596821259354363,0.004539980402554432,0.011301789175834132,0.147177254670548,0.19189855847945808,0.024565430842352458,0.005376206965212571,0.01532804785488745,0.032140671077633576,0.029955189428335194,0.0074645636251600145,0.0005812640687347104,0.0009671924112188981,0.10615714674918647,0.0,0.10553864722485518,0.9964285714285714
ARID1A,0.053812004211125135,0.014029136193509484,0.03875163092733125,0.01814179410691627,0.009917091724582272,0.0,0.02090285219706306,0.00022432789360954386,0.0,0.0,-0.0063455271932506,0.00270335802940741,0.0548845523563245,0.0946344562306087,0.024050057697791616,0.004766120703479593,0.0051478029690301685,0.002749454364403769,0.015653631084156183,0.0007984920099532999,0.01439583422733273,0.0,0.1266983038194739,0.13582916942756051,0.12250087677840382,0.9964285714285714
PTEN,-0.009610656068215984,0.015288509638838762,0.02854240470328206,0.009299225130537823,0.008929305452651415,0.04249267779984312,0.020846894443032005,0.00037285523225238926,0.00022444768492224654,0.006229342897211831,0.0002704729086023816,0.00273282314513712,0.08783049484671906,0.1093901488657938,0.03192159287535595,0.007202725410619727,0.00832110409689829,0.0016966011080150616,0.015241186593210887,0.007108209569760937,0.0008867852628690055,0.0007586715843475034,0.15810640804850212,0.14700761621532965,0.09422700088472392,0.9964285714285714
PIK3CA,0.01852768347416539,0.012071281216293585,0.0,0.0,0.0,0.26669607218773844,-0.003851237018763553,0.011088837230354807,0.0,0.001858371721239816,0.006688677178334046,-0.006349704745394702,0.08717768596392239,0.0960742916944709,0.019838111789249442,0.006655083891606684,0.015978842602325682,0.011321296786274415,0.0016156739546022147,0.0030303572352904373,0.0,0.0,0.14000791578273658,0.03590171533850417,-0.0040141079527096215,0.9946428571428572
FBXW7,0.030671646254780808,0.0049166964888526215,-0.003950014404331348,0.0,0.019035251365423,0.0,0.022448375529435242,0.0,0.0025341463320032176,0.03982269800589045,0.005016058159711567,0.044173875404977414,0.14592136159137895,0.14034785873092065,0.014248662297595138,0.008115608349172855,0.028119972951600125,0.02534694071928961,0.014086255817168825,0.005795011317575928,0.0013884384843587114,0.0,0.008773975726624639,0.033328397817636746,-0.005538654324109604,0.9946428571428572
CASP8,0.0047402538860883405,0.011174014663591969,0.052787726085621316,0.0,0.015766632716557368,0.0,-0.0030231816425163593,0.0,0.0,0.004756530373193625,0.005888275444221436,0.017100905515231583,0.12785397961237432,0.15836274243373705,0.020736758471777472,0.013541441712123405,0.006897234343258396,0.03695885174287766,0.00802775685959295,0.0,0.001076205353471582,0.0005233771294452794,0.1700298174482593,0.0,-0.0060967595329513005,0.9839285714285716
KRAS,0.047410837971999686,0.011861115007648249,0.0,0.0,0.02421845845490128,0.0,0.0,0.0,0.0,0.025585562465950062,0.013639196547171715,0.00460253166311636,0.14276985522072394,0.09892539714098064,0.056898649652358975,0.024670219497507855,0.04405688723217044,0.0319077820926712,0.012184548434299336,0.013701144667892295,0.002779781290938477,0.0,0.0,0.002604880989910852,0.0,0.9821428571428572
KMT2C,0.03354592423088226,0.020186478147477118,0.04484410000627098,0.0,0.012062974686528229,0.0,0.029125528719312344,0.0,0.0,0.0013420698208451154,0.005764742130028533,-0.004102289839425789,0.017259682298712054,0.061082368908143884,-0.002578710024708969,0.007381920823044286,0.0005932820883595148,0.0,0.003451757364875796,0.0,0.0,0.0,0.14322797182557834,0.18126048940830305,0.19622570059315736,0.9785714285714286
AKT1,-0.0016382162413275392,0.0,-0.0008126873583214622,-0.0012429182255468962,-0.002913843459294075,0.24397966819086514,-0.0020643281797611546,-0.0010014912695202052,0.0,0.001204653855574389,0.0023970578358760712,0.0023480690942629945,0.12622249204682934,0.1839691809922971,0.013696624723454565,0.00650585336796905,0.01243154250808154,0.014467573494041541,0.005765406913229186,0.008112887090778342,-0.0010422570562760858,0.0003256379939535204,0.12336815410419108,-0.003572704748556088,-0.003046650199702184,0.9732142857142858
ERBB2,0.029105692827644136,0.012471493579245596,0.0,0.0,0.008714422760743634,0.1529638234129968,0.005856700136016746,0.0,0.0,0.003301102930374223,0.006924436743883433,0.00863513757226081,0.10347191996531137,0.1463246177424115,0.003682405836371694,0.009935729720350284,0.016756341899266114,0.005431356347349425,-0.001671003167853513,0.013283037531617858,0.0,0.0,0.11193140442194902,0.009503540053812765,-0.0048767405549392535,0.9732142857142858
SF3B1,0.04736844371836496,0.0067039270217021385,0.021437155118370133,0.0,0.006378404719467046,0.18325668072056706,0.003196085417794925,0.0,0.0,0.0,0.003662199206608596,0.007966847394899057,0.08008966963383317,0.15754571781861404,0.012512922716083452,0.0,0.015586709427781563,0.0014001954513614412,0.00034991176762627635,0.002748250561974919,0.002524223843567153,0.0015104680496970668,0.09551026651345884,0.0,-0.004431230771530625,0.7982142857142857
CHD4,0.014525349424801324,-0.0006984981400351559,-0.003153848306319277,-0.0020056298620142188,0.004691889842800542,-0.003049120414692089,-0.003086869253248442,-0.0023994420528172106,0.0,-0.014425563178862746,-0.0016363963678060198,0.01786066070009598,0.05460499863011599,0.09553393231062243,-0.023677865744747117,-0.011100878461808027,0.011679007856770451,-0.011330263040104193,-0.003081867909081881,0.0019272849119545687,0.0,0.0016029835244703444,0.08889463706557624,-0.008249664136187721,-0.00632227478352837,0.6678571428571428
FOXA1,-0.00316062735328726,0.008546489972047322,-0.0030198960988978285,0.0,-0.0013111047336756554,0.11546720894486355,0.013408189958390965,0.0036210112928508342,0.0003991528009323342,0.0009017419358428037,0.0012632044921494225,0.003660387106887528,-0.017002295786466504,-0.04848167747321512,0.026517042761456968,0.012894396741771758,0.007699035657842913,0.0029433910334079605,0.0004576636139326795,0.0,-0.0009835316349249,0.0,0.11418032906684955,0.038288002732665284,0.033314447584530886,0.08392857142857144
