,gene,score
0,ANKRD20A4,0.919684
1,MX2,0.88764
2,DEFA6,0.873535
3,VCX3B,0.873247
4,DEFB4A,0.872893
5,MYEOV,0.856113
6,TRIM43,0.854635
7,SPANXN5,0.849368
8,AKAP14,0.845829
9,NRAS,0.845184
10,GSDMB,0.843817
11,APOBEC3C,0.843161
12,SNTN,0.842392
13,CST9L,0.834088
14,XCL1,0.833693
15,SCGB2A1,0.831536
16,DPPA3,0.828988
17,LCE2D,0.827805
18,ZNF69,0.826022
19,SPANXD,0.822402
20,MBD3L3,0.821932
21,TGOLN2,0.817393
22,TGIF2LY,0.817372
23,PSG3,0.814697
24,TAS2R43,0.811899
25,OR3A3,0.807834
26,MAGEA6,0.806926
27,SPANXN4,0.802748
28,XAGE5,0.801551
29,MUC7,0.80117
30,NBPF4,0.798762
31,RFPL2,0.791547
32,HRAS,0.791188
33,CST9,0.789912
34,LGALS16,0.788985
35,DEFB125,0.786699
36,DEFB121,0.783747
37,PRB4,0.783166
38,SCGB2B2,0.778077
39,CEACAM21,0.777618
40,ANKRD20A1,0.776196
41,PRAMEF11,0.774334
42,CTAGE4,0.773296
43,FAM47A,0.773263
44,KIR2DL1,0.773198
45,RIMBP3,0.771994
46,TRIM49C,0.767963
47,OR2T29,0.767779
48,SEMG2,0.766265
49,WFDC2,0.766067
50,KHDC3L,0.76592
51,HTN1,0.765016
52,UBA7,0.764274
53,SPDYE3,0.76277
54,DEFB127,0.761948
55,GSTA2,0.76126
56,SSX3,0.761169
57,TRIM49B,0.760311
58,TAS2R13,0.758739
59,PRB2,0.757882
60,CTRB1,0.757755
61,ZNF28,0.757135
62,FAM71A,0.756885
63,ZNF98,0.756252
64,MOSPD1,0.751855
65,PRAMEF1,0.751684
66,GNE,0.751385
67,DEFA3,0.751306
68,SOD1,0.750805
69,TP53,0.750778
70,SMR3B,0.749079
71,CLEC4M,0.748648
72,EPPIN-WFDC6,0.747926
73,FAM47C,0.747639
74,MUC12,0.746818
75,CALM2,0.74598
76,LACRT,0.74573
77,SPANXN2,0.745013
78,SERHL2,0.744293
79,SAA2,0.742259
80,CCL1,0.741164
81,LRRC37B,0.738375
82,RAET1G,0.737669
83,GOLGA6L6,0.737494
84,GLA,0.735804
85,XAGE3,0.734673
86,PRAMEF2,0.732572
87,AAMDC,0.732342
88,SSX7,0.731351
89,TFAP4,0.731164
90,CEACAM4,0.730749
91,CLEC4A,0.730527
92,ZNF561,0.730238
93,B4GALT7,0.730209
94,SCT,0.730183
95,BCL7B,0.730004
96,PRAMEF12,0.729942
97,PSG9,0.729295
98,GLYATL1,0.728898
99,TMIGD2,0.728807
100,SPCS1,0.728349
101,OOEP,0.727515
102,MAX,0.726208
103,CLEC6A,0.726183
104,FAM90A1,0.725195
105,OR2T3,0.72499
106,RAB9B,0.724675
107,ZNF676,0.72463
108,LYNX1,0.724272
109,PSG11,0.724001
110,IFI44L,0.72281
111,MUC17,0.721535
112,SCGB1D1,0.721371
113,KIR3DL1,0.721362
114,FAM9A,0.720702
115,APOC2,0.71949
116,PRB1,0.719446
117,POLR2J,0.719346
118,KRTAP10-3,0.71882
119,PSG4,0.718601
120,ALG1L,0.71847
121,ZNF200,0.717858
122,PRSS8,0.717844
123,CDRT1,0.717766
124,NBPF3,0.717545
125,PATE4,0.717305
126,ESCO2,0.717177
127,TCP10L2,0.716427
128,PSG8,0.715634
129,CDRT15L2,0.715234
130,PSG6,0.715166
131,LCE3A,0.714912
132,PSG5,0.714482
133,NBPF10,0.713897
134,TTF1,0.713654
135,ZNHIT1,0.713548
136,RNF135,0.713238
137,DIRAS1,0.713181
138,ZNF486,0.712883
139,KNSTRN,0.712637
140,ZNF674,0.712408
141,TPSAB1,0.711894
142,RNASEL,0.711811
143,ZNF440,0.711307
144,BIRC8,0.710266
145,PRAMEF4,0.710208
146,KLRC2,0.710124
147,KRTAP25-1,0.708553
148,PSG2,0.707835
149,PYHIN1,0.707557
150,USP17L2,0.70655
151,PAGE2,0.706215
152,CRIPAK,0.706136
153,OR14I1,0.705677
154,SMIM21,0.705254
155,KRTAP27-1,0.704261
156,MAGEC3,0.704083
157,MUC16,0.70349
158,ZNF77,0.702703
159,ANKRD30B,0.702453
160,S100A7,0.702335
161,CEACAM6,0.702243
162,ZNF544,0.702088
163,DCD,0.702029
164,OTC,0.701574
165,MS4A13,0.699888
166,GALP,0.699709
167,GAGE10,0.699659
168,TDRD3,0.699377
169,CST4,0.698925
170,DEFB126,0.698096
171,SPINK13,0.697775
172,KIR3DL3,0.697626
173,ARHGEF35,0.696841
174,RCAN1,0.695243
175,ZNF720,0.695229
176,CTAG2,0.6951
177,KRBOX1,0.694736
178,SPANXN3,0.694358
179,MRPS24,0.693672
180,EFNB1,0.693404
181,TMSB4Y,0.693385
182,PAGE4,0.692239
183,CLC,0.691733
184,RAB3A,0.691307
185,MRPL50,0.691133
186,ZBTB2,0.690617
187,AGAP6,0.689873
188,TSPAN7,0.689467
189,OR2T34,0.689323
190,KRAS,0.688844
191,TNNC1,0.68861
192,RHOXF2,0.688405
193,OR2M3,0.687817
194,OR4X1,0.687125
195,KLHL15,0.686879
196,ZNF491,0.686602
197,ZNF563,0.686178
198,CHRNA7,0.686011
199,MAGEB6,0.685634
200,ZNF670,0.685608
201,NRBF2,0.685532
202,SNX6,0.684356
203,ZNF813,0.684205
204,SIRT5,0.684204
205,PCDH11Y,0.683945
206,SSX1,0.683686
207,ZNF665,0.683556
208,CFHR3,0.68322
209,LCN15,0.683126
210,CENPBD1,0.683071
211,IFNA16,0.682753
212,TRIM48,0.682412
213,ZNF492,0.681806
214,COA6,0.681129
215,ZNF844,0.680827
216,AKT1,0.680644
217,RMDN2,0.678486
218,BIRC5,0.67841
219,RALB,0.677939
220,PSG1,0.677628
221,RUNX1,0.676999
222,KLRD1,0.675719
223,UCMA,0.675655
224,ZNF600,0.675059
225,ZNF808,0.674766
226,ANKRD36,0.674708
227,TCL1B,0.674587
228,XRCC4,0.674326
229,KATNA1,0.674296
230,ZNF556,0.674067
231,ZNF441,0.673942
232,ZNF763,0.673918
233,TFF3,0.6739
234,CLEC4C,0.673819
235,MKNK1,0.673541
236,LCE3B,0.67291
237,TRIM49,0.672897
238,ZNF679,0.672511
239,INPP5K,0.672272
240,GPM6B,0.672125
241,NLRP8,0.672074
242,CLECL1,0.672071
243,HOXB6,0.672061
244,TNFRSF10C,0.671925
245,FUT6,0.671857
246,CRELD2,0.671198
247,MUCL1,0.670941
248,ZNF705A,0.669977
249,SPANXN1,0.669917
250,NOSIP,0.669731
251,DEFB118,0.669663
252,CLEC1B,0.669338
253,ABHD10,0.668839
254,HCFC1R1,0.66828
255,MZT1,0.667621
256,SPDYE1,0.667378
257,ZNF253,0.666293
258,FAHD2B,0.665948
259,ZNF124,0.664643
260,HPRT1,0.664615
261,OGFR,0.664518
262,FBXO6,0.66437
263,MAGEA3,0.663906
264,DRD4,0.662867
265,TCP10,0.662108
266,SEBOX,0.661383
267,NUPR1,0.661362
268,TMEM68,0.661356
269,KHDC1,0.661314
270,MAGEC1,0.661216
271,CREBL2,0.661086
272,TEX22,0.660657
273,LRRC37A2,0.660562
274,ITGB3BP,0.660197
275,TMEM244,0.660115
276,ARGFX,0.659936
277,PIK3CA,0.659916
278,DEFB124,0.659438
279,LRRC37A3,0.659427
280,LGALS13,0.659065
281,ZNF736,0.658867
282,PIP,0.658704
283,HRNR,0.658222
284,TM4SF5,0.657838
285,MS4A10,0.657669
286,SIGLEC8,0.657545
287,ERVW-1,0.656737
288,AMELX,0.656134
289,IGFL3,0.654609
290,OR2L2,0.654245
291,OR2M2,0.654132
292,APRT,0.653546
293,IDS,0.653413
294,DEFB112,0.653313
295,MAPK11,0.653029
296,KRTAP21-1,0.652287
297,CPXCR1,0.652069
298,DNASE1,0.652041
299,ZNF479,0.651849
300,GORASP2,0.651841
301,CIB1,0.651725
302,DNAJC7,0.651704
303,FLG,0.650893
304,TAS2R19,0.650494
305,POTEE,0.650446
306,SMR3A,0.650417
307,PCGF3,0.650253
308,GGT1,0.65022
309,INSL4,0.650098
310,ZNF100,0.650047
311,CFHR1,0.650043
312,ZNF90,0.649624
313,EBLN2,0.649585
314,MUC4,0.649453
315,ENDOV,0.649251
316,ZNF626,0.649223
317,TPK1,0.649042
318,MBD3L1,0.649039
319,OR4C46,0.648474
320,MID1,0.648336
321,GPC4,0.648146
322,COA1,0.648127
323,FAM47B,0.64777
324,ZNF649,0.647537
325,IGLL1,0.647397
326,UBE2Z,0.646999
327,OR7D2,0.646638
328,MTMR6,0.646339
329,ZNF114,0.64555
330,ZNF320,0.645541
331,PPM1B,0.645473
332,TRIM16L,0.644495
333,GGTLC1,0.64445
334,CBS,0.644212
335,ZNF266,0.643649
336,ZNF208,0.643602
337,OR4A5,0.642991
338,HHLA3,0.642742
339,F9,0.642644
340,PSRC1,0.642463
341,PPAT,0.642185
342,IQCF3,0.642153
343,GYPE,0.642033
344,AGAP5,0.641729
345,MS4A12,0.641708
346,NPY,0.64164
347,VN1R4,0.641217
348,G6PD,0.641075
349,FAHD1,0.64078
350,ZNF20,0.640628
351,NR2F6,0.64031
352,KRTAP5-1,0.640203
353,ZNF415,0.640138
354,MAGEB18,0.639922
355,AVP,0.638862
356,NSUN6,0.638705
357,CLDN2,0.638511
